dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec,max_dv_count,Food_Insecurity_Index,DV_common_perception_score,DV_Common_Perception_norm,VAW_Perception_Score,VAW_Perception_norm,DV_Exposure,DV_Type_Count,Unsafe_Score,WellBeing_Score
NA,40 – 49 years,Single,College,0,Other,0,NA,Urban,0,NA,Some coping mechanisms (1-4),0.3333333333333333,0.3333333333333333,Feels safe,Uncommon,Not at all,2-3 times per week,NA,NA,NA,NA,NA,1,Seek support from family,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.3333333333333333,0,0,0,0,0.25,0.875
NA,60 years and older,Living with Partner,College,1,Other,0,More,Urban,1,Never,No coping mechanisms,0.3333333333333333,0.3333333333333333,Feels safe,Very uncommon,Don't know,2-3 times per week,NA,NA,NA,NA,NA,1,Seek support from family,1,Seek support from family,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,NA,NA,0,0,0.06666666666666667,0.9777777777777777
NA,40 – 49 years,Living with Partner,College,0,Unemployed,0,NA,Rural,0,Daily,Some coping mechanisms (1-4),0.3333333333333333,NA,DK/Refusal,Very common,A lot,Daily,NA,NA,NA,NA,NA,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,3,1,3,1,0,0,0.7777777777777778,0.6990740740740741
NA,60 years and older,Living with Partner,Less than primary,0,Other,1,NA,Urban,NA,Refused,Several coping mechanisms (5-8),0.3333333333333333,1,Feels unsafe/Sometimes feels unsafe,Very uncommon,A lot,Refused,NA,NA,NA,NA,NA,0,NA,1,Go to health facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,0,0,3,1,0,0,0.5833333333333334,0.5375
NA,18 – 29 years,Single,Completed secondary,0,Employed,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),0.3333333333333333,0.6666666666666666,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,NA,NA,NA,NA,NA,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,0,0,0,0,0.3333333333333333,0.7222222222222222
1,50 – 59 years,Single,Completed primary,NA,Employed,0,NA,Urban,0,NA,Some coping mechanisms (1-4),0.3333333333333333,0.3333333333333333,Feels safe,Common,A little bit,Daily,NA,1,NA,NA,NA,1,Access to women’s centres,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.6666666666666666,1,0.3333333333333333,1,2,0.41666666666666663,0.5833333333333334
1,18 – 29 years,Living with Partner,Post College,NA,Employed,0,More,Rural,1,Never,Several coping mechanisms (5-8),0,0.6666666666666666,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,NA,NA,1,1,NA,1,Seek help from shelter or safehouse for women,1,Seek support from family,0,0,0,1,0,0,0,0,1,0,0,5,6,0.625,0,0,0,0,1,3,0.24242424242424243,0.5441919191919192
NA,30 – 39 years,Single,College,0,Employed,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),0.3333333333333333,0.3333333333333333,Feels safe,Don't know,Not at all,2-3 times per week,NA,NA,0,NA,0,1,Seek support from family,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,NA,NA,0,0,0,0,0.2222222222222222,0.8009259259259259
NA,50 – 59 years,Living with Partner,Completed secondary,0,Fulltime caretaker,1,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),0.3333333333333333,0.3333333333333333,Feels safe,Uncommon,Not at all,2-3 times per week,NA,0,0,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.3333333333333333,0,0,0,0,0.25,0.7875
NA,30 – 39 years,Living with Partner,College,NA,Employed,0,Less,Urban,0,Once or twice,Several coping mechanisms (5-8),0.3333333333333333,0.3333333333333333,Feels safe,Uncommon,Not at all,2-3 times per week,NA,0,0,0,0,1,Seek support from family,1,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,1,0.3333333333333333,0,0,0,0,0.25,0.625
1,40 – 49 years,Living with Partner,College,0,Other,0,NA,Urban,0,Once or twice,No coping mechanisms,0,0,Feels safe,Uncommon,A little bit,Daily,NA,1,1,0,0,1,Seek support from a religious leader,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,1,0.3333333333333333,1,3,0.16666666666666666,0.7777777777777778
1,40 – 49 years,Living with Partner,College,NA,Employed,0,Less,Urban,0,Daily,Some coping mechanisms (1-4),1,1,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Daily,NA,1,0,1,1,1,Seek support from a religious leader,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.6666666666666666,2,0.6666666666666666,1,4,0.8333333333333333,0.33333333333333337
NA,60 years and older,Living with Partner,Completed primary,NA,Employed,0,Less,Urban,0,Monthly,Some coping mechanisms (1-4),0.3333333333333333,0.3333333333333333,Feels safe,Don't know,Don't know,Once a week,0,0,NA,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,NA,NA,NA,NA,0,0,0.3333333333333333,0.7222222222222222
NA,30 – 39 years,Living with Partner,College,NA,Employed,0,Less,Urban,0,Monthly,No coping mechanisms,0.3333333333333333,0.3333333333333333,Feels safe,Don't know,Not at all,Once or twice a month,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0.2222222222222222,0.9259259259259259
NA,50 – 59 years,Living with Partner,Post College,0,Fulltime caretaker,1,NA,Urban,0,Weekly,Several coping mechanisms (5-8),0,0.3333333333333333,Feels safe,Uncommon,A little bit,Once or twice a month,0,0,0,0,0,1,Call/go to police,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.3333333333333333,1,0.3333333333333333,0,0,0.25,0.6375000000000001
NA,18 – 29 years,Single,Completed secondary,0,Student,0,NA,Rural,0,Never,No coping mechanisms,0,0.3333333333333333,Feels safe,Common,Somewhat,Once or twice a month,0,0,0,0,0,1,Call helpline,1,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,2,0.6666666666666666,0,0,0.41666666666666663,0.8611111111111112
